pnum,age,gender,practice,phase,timerPhase,tnum,stimPos,stimType,congruent,firstResp,firstRT,postResp,postRT,frameRate,ITI,trigger,winszX,winszY
1,1,3,0,1,1.749,0,1,0,1,1,0.43338,-1,-1.00000,0.01622,25,104,800,600
1,1,3,0,1,3.367,1,1,1,1,1,0.43490,-1,-1.00000,0.01622,29,114,800,600
1,1,3,0,1,5.335,2,0,1,1,0,0.66884,-1,-1.00000,0.01622,36,111,800,600
1,1,3,0,1,7.337,3,0,1,1,1,0.74974,-1,-1.00000,0.01622,33,111,800,600
1,1,3,0,1,9.305,4,0,0,0,0,0.70166,-1,-1.00000,0.01622,34,100,800,600
1,1,3,0,1,11.290,5,0,1,1,1,0.66642,-1,-1.00000,0.01622,37,111,800,600
1,1,3,0,1,12.991,6,0,1,1,1,0.48358,-1,-1.00000,0.01622,31,111,800,600
1,1,3,0,1,14.727,7,1,0,1,1,0.40336,-1,-1.00000,0.01622,37,104,800,600
1,1,3,0,1,16.412,8,1,0,1,1,0.41608,-1,-1.00000,0.01622,34,104,800,600
1,1,3,0,1,18.130,9,0,1,1,1,0.58474,-1,-1.00000,0.01622,26,111,800,600
1,1,3,0,1,19.998,10,1,0,0,0,0.55270,-1,-1.00000,0.01622,37,103,800,600
1,1,3,0,1,21.782,11,0,1,1,1,0.65039,-1,-1.00000,0.01622,26,111,800,600
1,1,3,0,1,23.865,12,0,0,1,0,0.90118,-1,-1.00000,0.01622,29,101,800,600
1,1,3,0,1,25.770,13,1,1,1,1,0.68408,-1,-1.00000,0.01622,31,114,800,600
1,1,3,0,1,27.772,14,0,0,1,0,0.75032,-1,-1.00000,0.01622,33,101,800,600
1,1,3,0,1,29.756,15,0,1,1,1,0.73341,-1,-1.00000,0.01622,33,111,800,600
1,1,3,0,1,31.573,16,1,1,1,1,0.65303,-1,-1.00000,0.01622,28,114,800,600
1,1,3,0,1,33.324,17,0,0,0,0,0.61996,-1,-1.00000,0.01622,26,100,800,600
1,1,3,0,1,35.375,18,0,0,1,1,0.73264,-1,-1.00000,0.01622,37,101,800,600
1,1,3,0,1,37.579,19,1,0,1,0,0.95160,-1,-1.00000,0.01622,33,104,800,600
1,1,3,0,1,39.346,20,0,0,1,0,0.63411,-1,-1.00000,0.01622,26,101,800,600
1,1,3,0,1,41.346,21,0,0,1,0,0.70475,-1,-1.00000,0.01622,36,101,800,600
1,1,3,0,1,43.282,22,1,1,0,1,0.65323,-1,-1.00000,0.01622,35,113,800,600
1,1,3,0,1,45.218,23,1,0,1,0,0.73368,-1,-1.00000,0.01622,30,104,800,600
1,1,3,0,1,46.971,24,1,1,1,1,0.56666,-1,-1.00000,0.01622,29,114,800,600
1,1,3,0,1,48.688,25,1,0,1,0,0.54964,-1,-1.00000,0.01622,28,104,800,600
1,1,3,0,1,50.572,26,1,0,1,1,0.58669,-1,-1.00000,0.01622,36,104,800,600
1,1,3,0,1,52.408,27,1,1,1,1,0.60313,-1,-1.00000,0.01622,32,114,800,600
1,1,3,0,1,54.259,28,0,1,1,0,0.55191,-1,-1.00000,0.01622,36,111,800,600
1,1,3,0,1,56.476,29,0,0,1,1,1.10215,-1,-1.00000,0.01622,25,101,800,600
1,1,3,0,1,58.096,30,0,0,1,0,0.44972,-1,-1.00000,0.01622,28,101,800,600
1,1,3,0,1,59.830,31,1,1,1,1,0.60308,-1,-1.00000,0.01622,25,114,800,600
1,1,3,0,1,61.582,32,0,1,0,1,0.62870,-1,-1.00000,0.01622,26,110,800,600
1,1,3,0,2,1.968,33,1,1,1,1,0.64911,-1,-1.00000,0.01622,37,214,800,600
1,1,3,0,2,3.738,34,0,0,1,0,0.46860,-1,-1.00000,0.01622,36,201,800,600
1,1,3,0,2,5.471,35,1,0,1,0,0.56843,-1,-1.00000,0.01622,28,204,800,600
1,1,3,0,2,7.339,36,0,1,0,1,0.56623,-1,-1.00000,0.01622,36,210,800,600
1,1,3,0,2,9.024,37,1,1,1,1,0.53575,-1,-1.00000,0.01622,27,214,800,600
1,1,3,0,2,10.709,38,1,1,0,1,0.40279,-1,-1.00000,0.01622,34,213,800,600
1,1,3,0,2,12.377,39,1,0,0,0,0.55132,-1,-1.00000,0.01622,25,203,800,600
1,1,3,0,2,14.095,0,1,0,0,0,0.58666,-1,-1.00000,0.01622,26,203,800,600
1,1,3,0,2,15.879,1,0,1,0,1,0.58522,-1,-1.00000,0.01622,30,210,800,600
1,1,3,0,2,17.666,2,1,1,1,1,0.55381,-1,-1.00000,0.01622,32,214,800,600
1,1,3,0,2,19.251,3,0,0,1,0,0.41786,-1,-1.00000,0.01622,28,201,800,600
1,1,3,0,2,21.002,4,1,0,1,0,0.48459,-1,-1.00000,0.01622,34,204,800,600
1,1,3,0,2,22.704,5,0,0,0,1,0.40029,-1,-1.00000,0.01622,36,200,800,600
1,1,3,0,2,24.471,6,1,0,1,0,0.55210,-1,-1.00000,0.01622,31,204,800,600
1,1,3,0,2,26.103,7,1,0,1,0,0.51925,-1,-1.00000,0.01622,25,204,800,600
1,1,3,0,2,27.825,8,1,1,1,1,0.53633,-1,-1.00000,0.01622,29,214,800,600
1,1,3,0,2,29.426,9,0,1,1,0,0.47005,-1,-1.00000,0.01622,26,211,800,600
1,1,3,0,2,31.060,10,0,0,1,0,0.50236,-1,-1.00000,0.01622,26,201,800,600
1,1,3,0,2,32.760,11,1,1,0,1,0.53168,-1,-1.00000,0.01622,28,213,800,600
1,1,3,0,2,34.628,12,0,1,1,1,0.58391,-1,-1.00000,0.01622,35,211,800,600
1,1,3,0,2,36.396,13,1,1,1,1,0.45191,-1,-1.00000,0.01622,37,214,800,600
1,1,3,0,2,38.081,14,1,0,1,0,0.53586,-1,-1.00000,0.01622,27,204,800,600
1,1,3,0,2,39.967,15,0,1,1,1,0.58291,-1,-1.00000,0.01622,36,211,800,600
1,1,3,0,2,41.750,16,0,0,1,0,0.61633,-1,-1.00000,0.01622,28,201,800,600
1,1,3,0,2,43.587,17,1,1,1,1,0.53551,-1,-1.00000,0.01622,36,214,800,600
1,1,3,0,2,45.437,18,1,0,1,0,0.53402,-1,-1.00000,0.01622,37,204,800,600
1,1,3,0,2,47.104,19,1,1,1,1,0.53504,-1,-1.00000,0.01622,26,214,800,600
1,1,3,0,2,48.840,20,1,0,1,0,0.61929,-1,-1.00000,0.01622,25,204,800,600
1,1,3,0,2,50.843,21,0,0,0,0,0.68541,-1,-1.00000,0.01622,37,200,800,600
1,1,3,0,2,52.694,22,0,0,1,0,0.68357,-1,-1.00000,0.01622,28,201,800,600
1,1,3,0,2,54.430,23,1,1,0,1,0.54994,-1,-1.00000,0.01622,29,213,800,600
1,1,3,0,2,56.328,24,1,0,1,0,0.65038,-1,-1.00000,0.01622,33,204,800,600
1,1,3,0,2,58.131,25,1,0,1,0,0.66763,-1,-1.00000,0.01622,26,204,800,600
1,1,3,0,2,59.917,26,0,1,1,1,0.60198,-1,-1.00000,0.01622,29,211,800,600
1,1,3,0,2,61.802,27,0,0,1,0,0.60227,-1,-1.00000,0.01622,35,201,800,600
